sample,time_s,type,reason,value
45677,0.951604,down,low_prom,9.27
45677,0.951604,down,sub30_pair,26.08
46929,0.977688,down,low_prom,10.33
46929,0.977688,down,sub30_pair,26.08
393384,8.195500,down,low_prom,11.61
628156,13.086583,down,low_prom,9.52
1271323,26.485896,down,low_prom,10.24
1904010,39.666875,down,low_prom,9.29
1906308,39.714750,down,low_prom,11.23
2198847,45.809312,down,low_prom,9.23
2273223,47.358812,down,low_prom,10.4
2636211,54.921062,down,low_prom,11.89
2643081,55.064188,down,low_prom,10.71
3049090,63.522708,down,low_prom,9.88
3232270,67.338958,down,low_prom,10.24
3309693,68.951937,down,low_prom,7.32
3711301,77.318771,down,low_prom,11.06
3711301,77.318771,down,sub30_pair,28.73
3712680,77.347500,down,sub30_pair,28.73
5278581,109.970438,down,low_prom,10.37
5414375,112.799479,down,low_prom,11.02
5508986,114.770542,down,low_prom,8.05
6347330,132.236042,down,low_prom,10.02
6884524,143.427583,down,low_prom,10.37
7012711,146.098146,down,low_prom,10.75
7097911,147.873146,down,low_prom,10.56
7135742,148.661292,down,low_prom,10.0
7216760,150.349167,down,low_prom,9.79
7611822,158.579625,down,low_prom,9.99
7614082,158.626708,down,low_prom,7.76
7616766,158.682625,down,low_prom,9.8
7679134,159.981958,down,low_prom,7.89
7691190,160.233125,down,low_prom,7.38
8438669,175.805604,down,low_prom,11.94
8505487,177.197646,down,low_prom,11.75
8961358,186.694958,down,low_prom,11.36
8963172,186.732750,down,low_prom,11.24
8985028,187.188083,down,low_prom,10.65
9836134,204.919458,down,low_prom,9.07
10120102,210.835458,down,low_prom,11.84
10122135,210.877813,down,low_prom,10.14
10125966,210.957625,down,low_prom,7.31
10130331,211.048563,down,low_prom,10.19
10134306,211.131375,down,low_prom,7.4
10275903,214.081312,down,low_prom,10.17
11116488,231.593500,down,low_prom,8.71
11601170,241.691042,down,low_prom,11.37
11661877,242.955771,down,low_prom,11.86
12069093,251.439437,down,low_prom,9.52
13128375,273.507812,down,low_prom,9.9
13524507,281.760562,down,low_prom,7.59
13726894,285.976958,down,low_prom,11.15
14055742,292.827958,down,low_prom,9.72
14145764,294.703417,down,low_prom,11.77
14991982,312.332958,down,low_prom,8.87
15144556,315.511583,down,low_prom,9.67
15536840,323.684167,down,low_prom,7.23
15563824,324.246333,down,low_prom,11.54
15700644,327.096750,down,low_prom,9.83
15903720,331.327500,down,low_prom,6.99
18385677,383.034938,down,low_prom,9.19
