sample,time_s,type,decision,reason,ncc,range_db
45677,0.951604,down,存疑,close_pair_ambiguous,0.6477,9.27
46929,0.977688,down,存疑,close_pair_ambiguous,0.7257,10.33
163976,3.416167,down,存疑,mid_band,0.7784,19.40
189488,3.947667,down,存疑,mid_band,0.5227,16.57
269859,5.622063,down,drop,ncc_lo,0.3286,41.26
331957,6.915771,down,存疑,mid_band,0.6194,18.57
393384,8.195500,down,存疑,mid_band,0.6274,11.61
444093,9.251938,down,存疑,mid_band,0.7896,42.95
458624,9.554667,down,drop,ncc_lo,-0.0741,19.10
628156,13.086583,down,drop,ncc_lo,0.4809,9.52
690324,14.381750,down,存疑,mid_band,0.5817,15.15
700287,14.589313,down,存疑,mid_band,0.6407,12.59
1068806,22.266792,down,存疑,mid_band,0.6842,53.40
1091332,22.736083,down,drop,ncc_lo,0.4998,37.32
1271323,26.485896,down,存疑,mid_band,0.7613,10.24
1335978,27.832875,down,存疑,mid_band,0.5516,16.11
1499824,31.246333,down,存疑,mid_band,0.6153,12.85
1554942,32.394625,down,存疑,mid_band,0.5788,13.58
1875319,39.069146,down,存疑,mid_band,0.5248,26.57
1904010,39.666875,down,存疑,mid_band,0.5791,9.29
1906308,39.714750,down,drop,ncc_lo,0.4488,11.23
2198847,45.809312,down,存疑,mid_band,0.5799,9.23
2273223,47.358812,down,存疑,mid_band,0.5001,10.40
2293821,47.787937,down,drop,ncc_lo,0.2463,20.35
2436249,50.755187,down,存疑,mid_band,0.7023,16.23
2636211,54.921062,down,drop,ncc_lo,0.4831,11.89
2640799,55.016646,down,存疑,mid_band,0.5812,13.39
2643081,55.064188,down,存疑,mid_band,0.6223,10.71
2784053,58.001104,down,存疑,mid_band,0.5107,12.46
2922881,60.893354,down,drop,ncc_lo,0.3730,12.47
3049090,63.522708,down,drop,ncc_lo,0.4332,9.88
3095255,64.484479,down,存疑,mid_band,0.6801,43.92
3195751,66.578146,down,存疑,mid_band,0.6811,12.44
3232270,67.338958,down,drop,ncc_lo,0.4874,10.24
3309693,68.951937,down,存疑,mid_band,0.5806,7.32
3440608,71.679333,down,存疑,mid_band,0.6778,12.41
3568681,74.347521,down,存疑,mid_band,0.8315,12.06
3573799,74.454146,down,drop,ncc_lo,0.2628,14.29
3711301,77.318771,down,存疑,close_pair_ambiguous,0.6466,11.06
3712680,77.347500,down,存疑,close_pair_ambiguous,0.7106,12.32
3729640,77.700833,down,存疑,mid_band,0.7102,32.86
3812604,79.429250,down,存疑,mid_band,0.5946,19.68
4079399,84.987479,down,drop,ncc_lo,0.0417,20.67
4085360,85.111667,down,存疑,mid_band,0.7929,12.15
4101298,85.443708,down,存疑,mid_band,0.8319,14.99
4405918,91.789958,down,存疑,mid_band,0.7955,46.21
4860801,101.266688,down,drop,ncc_lo,0.4671,16.11
5278581,109.970438,down,drop,ncc_lo,0.4265,10.37
5414375,112.799479,down,存疑,mid_band,0.6718,11.02
5508986,114.770542,down,drop,ncc_lo,0.4528,8.05
5841057,121.688688,down,存疑,mid_band,0.7401,13.24
6142569,127.970187,down,存疑,mid_band,0.5449,16.05
6161191,128.358146,down,存疑,mid_band,0.8121,41.06
6162865,128.393021,down,drop,ncc_lo,-0.1331,17.76
6241095,130.022812,down,存疑,mid_band,0.7822,14.49
6347330,132.236042,down,存疑,mid_band,0.5890,10.02
6457673,134.534854,down,drop,ncc_lo,0.4455,46.29
6714123,139.877563,down,存疑,mid_band,0.6136,19.31
6884524,143.427583,down,存疑,mid_band,0.7416,10.37
7012711,146.098146,down,drop,ncc_lo,0.3882,10.75
7033647,146.534312,down,drop,ncc_lo,0.3297,12.67
7073939,147.373729,down,存疑,mid_band,0.5076,12.05
7086910,147.643958,down,存疑,mid_band,0.7778,14.81
7094506,147.802208,down,存疑,mid_band,0.6074,14.08
7097911,147.873146,down,存疑,mid_band,0.6214,10.56
7135742,148.661292,down,存疑,mid_band,0.6235,10.00
7145924,148.873417,down,存疑,mid_band,0.5596,14.76
7204099,150.085396,down,存疑,mid_band,0.7133,16.68
7216760,150.349167,down,存疑,mid_band,0.5127,9.79
7523012,156.729417,down,存疑,mid_band,0.7851,15.04
7611822,158.579625,down,drop,ncc_lo,0.4666,9.99
7614082,158.626708,down,存疑,mid_band,0.5710,7.76
7616766,158.682625,down,drop,ncc_lo,0.3701,9.80
7679134,159.981958,down,存疑,mid_band,0.5058,7.89
7691190,160.233125,down,存疑,mid_band,0.5026,7.38
7846221,163.462938,down,存疑,mid_band,0.5549,13.46
7907350,164.736458,down,存疑,mid_band,0.7309,12.64
8278283,172.464229,down,drop,ncc_lo,0.2752,19.62
8425167,175.524313,down,drop,ncc_lo,0.4477,15.03
8438669,175.805604,down,存疑,mid_band,0.6151,11.94
8505487,177.197646,down,存疑,mid_band,0.8033,11.75
8633202,179.858375,down,drop,ncc_lo,-0.0466,20.19
8645524,180.115083,down,存疑,mid_band,0.5890,40.85
8836435,184.092396,down,存疑,mid_band,0.6813,12.38
8934883,186.143396,down,存疑,mid_band,0.7124,16.84
8961358,186.694958,down,存疑,mid_band,0.7734,11.36
8963172,186.732750,down,存疑,mid_band,0.5399,11.24
8983170,187.149375,down,存疑,mid_band,0.6615,44.07
8985028,187.188083,down,存疑,mid_band,0.8057,10.65
9375357,195.319938,down,存疑,mid_band,0.6760,13.10
9685566,201.782625,down,存疑,mid_band,0.8331,48.86
9706073,202.209854,down,drop,ncc_lo,0.4711,17.02
9756855,203.267812,down,drop,ncc_lo,0.1676,22.35
9836134,204.919458,down,存疑,mid_band,0.5754,9.07
9882044,205.875917,down,存疑,mid_band,0.8375,47.21
9898097,206.210354,down,存疑,mid_band,0.6860,16.33
9959290,207.485208,down,存疑,mid_band,0.5428,12.38
10048013,209.333604,down,存疑,mid_band,0.6290,16.19
10120102,210.835458,down,存疑,mid_band,0.5191,11.84
