sample,time_s,type,reason,value
573947,11.957229,down,low_prom,11.92
920826,19.183875,down,low_prom,11.94
1051021,21.896271,down,low_prom,11.04
1092406,22.758458,down,low_prom,9.73
1365422,28.446292,down,low_prom,10.72
1410968,29.395167,down,low_prom,11.15
1493326,31.110958,down,low_prom,11.02
1612905,33.602187,down,low_prom,9.1
1612905,33.602187,down,sub30_pair,21.62
1613943,33.623812,down,sub30_pair,21.62
1726034,35.959042,down,low_prom,10.47
1885089,39.272688,down,low_prom,11.96
1950184,40.628833,down,low_prom,9.64
2579742,53.744625,down,low_prom,11.63
2602268,54.213917,down,low_prom,10.9
2764146,57.586375,down,low_prom,9.89
2800666,58.347208,down,low_prom,10.77
2895778,60.328708,down,low_prom,10.5
3038728,63.306833,down,low_prom,11.07
3594283,74.880896,down,low_prom,10.21
3885380,80.945417,down,low_prom,10.54
3898466,81.218042,down,low_prom,11.55
3922755,81.724063,down,low_prom,10.6
4026823,83.892146,down,low_prom,9.76
4069138,84.773708,down,low_prom,10.8
4080430,85.008958,down,low_prom,8.84
4250829,88.558937,down,low_prom,9.91
4455530,92.823542,down,low_prom,11.65
4479280,93.318333,down,low_prom,10.5
4488302,93.506292,down,low_prom,11.06
4639606,96.658458,down,low_prom,7.46
5057531,105.365229,down,low_prom,11.47
5069463,105.613812,down,low_prom,9.87
5118096,106.627000,down,low_prom,6.78
5143049,107.146854,down,low_prom,10.23
5226863,108.892979,down,low_prom,9.53
5361877,111.705771,down,low_prom,10.86
5671439,118.154979,down,low_prom,7.9
6692220,139.421250,down,low_prom,8.32
6751098,140.647875,down,low_prom,11.47
7567315,157.652396,down,low_prom,11.72
7817845,162.871771,down,low_prom,10.66
7836494,163.260292,down,low_prom,9.56
7838253,163.296938,down,low_prom,9.74
7949993,165.624854,down,low_prom,10.01
8157798,169.954125,down,low_prom,11.24
8228581,171.428771,down,low_prom,9.33
8228581,171.428771,down,sub30_pair,23.96
8229731,171.452729,down,sub30_pair,23.96
8494880,176.976667,down,low_prom,11.95
8670248,180.630167,down,low_prom,10.82
8744343,182.173812,down,low_prom,10.48
8896219,185.337896,down,low_prom,8.15
9101564,189.615917,down,low_prom,10.53
9117567,189.949312,down,low_prom,11.51
9129926,190.206792,down,sub30_pair,24.42
9131098,190.231208,down,sub30_pair,24.42
9154706,190.723042,down,low_prom,8.92
9279840,193.330000,down,low_prom,11.1
9554260,199.047083,down,low_prom,11.93
9667661,201.409604,down,low_prom,9.34
9748479,203.093312,down,low_prom,10.31
9755206,203.233458,down,low_prom,11.11
9854659,205.305396,down,low_prom,10.62
9924749,206.765604,down,low_prom,10.34
9966802,207.641708,down,low_prom,11.98
10078259,209.963729,down,low_prom,8.01
10139673,211.243188,down,low_prom,9.31
10320578,215.012042,down,low_prom,10.37
10431277,217.318271,down,low_prom,10.14
11089412,231.029417,down,low_prom,9.29
11137378,232.028708,down,low_prom,12.0
11179421,232.904604,down,low_prom,9.49
11410017,237.708687,down,low_prom,10.91
11710851,243.976063,down,low_prom,10.77
11829844,246.455083,down,low_prom,11.05
11881564,247.532583,down,low_prom,9.4
11979857,249.580354,down,low_prom,11.81
12079108,251.648083,down,low_prom,11.9
12895035,268.646563,down,low_prom,11.21
12910457,268.967854,down,low_prom,11.64
12912387,269.008062,down,low_prom,9.18
12971737,270.244521,down,low_prom,9.03
13036955,271.603229,down,low_prom,11.19
13045859,271.788729,down,low_prom,10.58
13409930,279.373542,down,low_prom,8.43
13439372,279.986917,down,low_prom,9.58
13586219,283.046229,down,low_prom,10.16
13711468,285.655583,down,low_prom,11.58
14080067,293.334729,down,low_prom,10.09
14139827,294.579729,down,low_prom,10.94
14142720,294.640000,down,low_prom,8.26
14478945,301.644687,down,low_prom,11.44
14581887,303.789312,down,low_prom,10.58
14612272,304.422333,down,low_prom,9.27
14615402,304.487542,down,low_prom,11.37
14770447,307.717646,down,low_prom,11.18
14933205,311.108437,down,low_prom,8.72
15244246,317.588458,down,low_prom,10.37
15256568,317.845167,down,low_prom,11.37
15276042,318.250875,down,low_prom,8.58
15380501,320.427104,down,low_prom,11.79
15443168,321.732667,down,low_prom,8.6
15702497,327.135354,down,low_prom,8.18
15846910,330.143958,down,low_prom,8.41
15936142,332.002958,down,low_prom,8.28
