sample,time_s,type,decision,reason,ncc,range_db
32756,0.682417,down,存疑,mid_band,0.7189,33.05
85134,1.773625,down,存疑,mid_band,0.6050,22.52
98418,2.050375,down,存疑,mid_band,0.5318,12.71
125668,2.618083,down,存疑,mid_band,0.7942,20.10
184668,3.847250,down,存疑,mid_band,0.7249,14.18
573947,11.957229,down,drop,ncc_lo,0.4506,11.92
575525,11.990104,down,存疑,mid_band,0.5210,12.01
653697,13.618688,down,存疑,mid_band,0.6147,18.07
661108,13.773083,down,存疑,mid_band,0.6946,19.79
668860,13.934583,down,存疑,mid_band,0.8071,32.71
890315,18.548229,down,存疑,mid_band,0.7832,23.31
897614,18.700292,down,存疑,mid_band,0.7328,29.61
920826,19.183875,down,存疑,mid_band,0.6640,11.94
932848,19.434333,down,存疑,mid_band,0.8388,18.84
1011387,21.070563,down,存疑,mid_band,0.8008,27.47
1020139,21.252896,down,存疑,mid_band,0.6436,39.96
1051021,21.896271,down,存疑,mid_band,0.7526,11.04
1092406,22.758458,down,存疑,mid_band,0.7831,9.73
1126437,23.467437,down,存疑,mid_band,0.8144,26.22
1132048,23.584333,down,存疑,mid_band,0.8170,18.53
1237123,25.773396,down,drop,ncc_lo,0.4077,12.69
1246506,25.968875,down,存疑,mid_band,0.7739,15.99
1257767,26.203479,down,存疑,mid_band,0.5592,14.38
1335465,27.822187,down,drop,ncc_lo,0.2775,20.74
1345301,28.027104,down,存疑,mid_band,0.6779,21.27
1365422,28.446292,down,存疑,mid_band,0.5950,10.72
1410968,29.395167,down,存疑,mid_band,0.5172,11.15
1435800,29.912500,down,存疑,mid_band,0.7804,32.21
1457655,30.367812,down,存疑,mid_band,0.8383,22.94
1493326,31.110958,down,drop,ncc_lo,0.4324,11.02
1513053,31.521937,down,存疑,mid_band,0.8107,29.95
1520658,31.680375,down,存疑,mid_band,0.6739,17.79
1612905,33.602187,down,存疑,close_pair_ambiguous,0.5725,9.10
1613943,33.623812,down,存疑,close_pair_ambiguous,0.7588,12.57
1617426,33.696375,down,存疑,mid_band,0.6942,13.13
1637937,34.123688,down,存疑,mid_band,0.6789,13.65
1655646,34.492625,down,存疑,mid_band,0.8411,20.91
1665862,34.705458,down,drop,ncc_lo,0.1017,19.98
1726034,35.959042,down,存疑,mid_band,0.5361,10.47
1765593,36.783187,down,drop,ncc_lo,0.1876,15.26
1885089,39.272688,down,drop,ncc_lo,0.4211,11.96
1887941,39.332104,down,存疑,mid_band,0.7477,21.75
1893789,39.453938,down,存疑,mid_band,0.6607,32.18
1950184,40.628833,down,存疑,mid_band,0.7043,9.64
2065968,43.041000,down,存疑,mid_band,0.7238,21.60
2070070,43.126458,down,存疑,mid_band,0.8075,20.96
2114648,44.055167,down,drop,ncc_lo,0.3920,20.50
2310738,48.140375,down,drop,ncc_lo,0.3685,13.49
2317967,48.290979,down,存疑,mid_band,0.8446,19.13
2442955,50.894896,down,drop,ncc_lo,0.3920,16.32
2579742,53.744625,down,drop,ncc_lo,0.4383,11.63
2602268,54.213917,down,存疑,mid_band,0.7188,10.90
2676762,55.765875,down,存疑,mid_band,0.5664,16.25
2706874,56.393208,down,drop,ncc_lo,0.4931,21.40
2764146,57.586375,down,存疑,mid_band,0.5784,9.89
2790288,58.131000,down,存疑,mid_band,0.8469,23.85
2791972,58.166083,down,存疑,mid_band,0.8354,24.58
2800666,58.347208,down,存疑,mid_band,0.6940,10.77
2848725,59.348438,down,存疑,mid_band,0.8315,29.44
2867228,59.733917,down,drop,ncc_lo,0.4495,13.92
2868892,59.768583,down,drop,ncc_lo,0.3302,12.64
2895778,60.328708,down,drop,ncc_lo,0.1787,10.50
2982360,62.132500,down,存疑,mid_band,0.7926,27.06
2987124,62.231750,down,存疑,mid_band,0.6689,17.98
3038728,63.306833,down,drop,ncc_lo,0.4898,11.07
3135901,65.331271,down,存疑,mid_band,0.6106,13.09
3261207,67.941812,down,存疑,mid_band,0.6839,16.76
3594283,74.880896,down,存疑,mid_band,0.5594,10.21
3669991,76.458146,down,drop,ncc_lo,0.3247,14.92
3702570,77.136875,down,存疑,mid_band,0.6504,16.54
3736627,77.846396,down,存疑,mid_band,0.7924,31.91
3747604,78.075083,down,drop,ncc_lo,0.4492,12.15
3885380,80.945417,down,drop,ncc_lo,0.3266,10.54
3898466,81.218042,down,存疑,mid_band,0.5811,11.55
3922755,81.724063,down,drop,ncc_lo,0.4460,10.60
3985106,83.023042,down,drop,ncc_lo,0.3526,12.40
3987128,83.065167,down,存疑,mid_band,0.7244,12.71
4026823,83.892146,down,drop,ncc_lo,0.4647,9.76
4069138,84.773708,down,存疑,mid_band,0.6479,10.80
4077510,84.948125,down,存疑,mid_band,0.8385,27.60
4080430,85.008958,down,drop,ncc_lo,0.4651,8.84
4084299,85.089562,down,存疑,mid_band,0.7845,28.31
4096055,85.334479,down,存疑,mid_band,0.8468,22.90
4192281,87.339187,down,存疑,mid_band,0.7864,28.90
4250829,88.558937,down,存疑,mid_band,0.6665,9.91
4275388,89.070583,down,存疑,mid_band,0.5677,13.31
4455530,92.823542,down,drop,ncc_lo,0.4894,11.65
4479280,93.318333,down,存疑,mid_band,0.5119,10.50
4488302,93.506292,down,存疑,mid_band,0.6387,11.06
4498183,93.712146,down,存疑,mid_band,0.5942,19.77
4503324,93.819250,down,存疑,mid_band,0.8254,23.55
4639606,96.658458,down,存疑,mid_band,0.6360,7.46
4656869,97.018104,down,drop,ncc_lo,0.2818,12.65
4680323,97.506729,down,存疑,mid_band,0.7803,43.14
4744276,98.839083,down,存疑,mid_band,0.6918,28.52
4748457,98.926187,down,存疑,mid_band,0.6868,23.18
4915312,102.402333,down,存疑,mid_band,0.7240,21.33
4920342,102.507125,down,存疑,mid_band,0.7176,15.06
5057531,105.365229,down,存疑,mid_band,0.5756,11.47
5069463,105.613812,down,存疑,mid_band,0.5890,9.87
5077065,105.772188,down,存疑,mid_band,0.7393,12.80
5118096,106.627000,down,drop,ncc_lo,0.4840,6.78
5140802,107.100042,down,drop,ncc_lo,0.3369,15.20
5143049,107.146854,down,存疑,mid_band,0.6455,10.23
5226863,108.892979,down,存疑,mid_band,0.6071,9.53
5361877,111.705771,down,存疑,mid_band,0.6633,10.86
5366398,111.799958,down,存疑,mid_band,0.7110,24.42
5369842,111.871708,down,存疑,mid_band,0.7463,28.50
5377696,112.035333,down,drop,ncc_lo,0.2763,15.24
5419885,112.914271,down,存疑,mid_band,0.6501,16.22
5506585,114.720521,down,存疑,mid_band,0.6872,14.72
5640554,117.511542,down,存疑,mid_band,0.7906,39.44
5671439,118.154979,down,drop,ncc_lo,0.4647,7.90
5731455,119.405312,down,存疑,mid_band,0.6857,21.67
5738538,119.552875,down,存疑,mid_band,0.7334,22.65
5762857,120.059521,down,存疑,mid_band,0.7668,20.00
5830057,121.459521,down,存疑,mid_band,0.8426,28.16
5848535,121.844479,down,存疑,mid_band,0.8360,24.94
5871829,122.329771,down,存疑,mid_band,0.7252,13.06
5888623,122.679646,down,drop,ncc_lo,0.3714,24.74
5896763,122.849229,down,drop,ncc_lo,0.4866,26.52
5944093,123.835271,down,存疑,mid_band,0.7661,23.57
6133519,127.781646,down,存疑,mid_band,0.5610,12.06
6138805,127.891771,down,存疑,mid_band,0.7978,25.08
6172608,128.596000,down,存疑,mid_band,0.8003,30.69
6298451,131.217729,down,drop,ncc_lo,0.3857,14.75
6340625,132.096354,down,存疑,mid_band,0.7141,25.23
6398088,133.293500,down,drop,ncc_lo,0.4530,17.54
6431733,133.994438,down,存疑,mid_band,0.8021,13.80
6485363,135.111729,down,存疑,mid_band,0.7306,16.55
6488050,135.167708,down,存疑,mid_band,0.7180,15.43
6692220,139.421250,down,存疑,mid_band,0.6476,8.32
6751098,140.647875,down,存疑,mid_band,0.5949,11.47
6843696,142.577000,down,存疑,mid_band,0.5627,14.36
6900898,143.768708,down,drop,ncc_lo,0.4959,17.17
7248178,151.003708,down,存疑,mid_band,0.8399,32.46
7254516,151.135750,down,存疑,mid_band,0.6873,18.13
7495744,156.161333,down,存疑,mid_band,0.6053,17.93
7541856,157.122000,down,存疑,mid_band,0.6298,13.90
7567315,157.652396,down,存疑,mid_band,0.6304,11.72
7574124,157.794250,down,存疑,mid_band,0.8014,25.77
7708408,160.591833,down,drop,ncc_lo,0.2100,37.50
7817845,162.871771,down,存疑,mid_band,0.5417,10.66
7836494,163.260292,down,存疑,mid_band,0.6313,9.56
7838253,163.296938,down,存疑,mid_band,0.6861,9.74
7859662,163.742958,down,存疑,mid_band,0.8256,31.71
7871501,163.989604,down,存疑,mid_band,0.8111,22.80
7881032,164.188167,down,存疑,mid_band,0.7178,12.98
7884233,164.254854,down,存疑,mid_band,0.7391,13.94
7949993,165.624854,down,存疑,mid_band,0.7095,10.01
7959363,165.820063,down,存疑,mid_band,0.8123,14.29
7976336,166.173667,down,drop,ncc_lo,0.0117,37.60
8027843,167.246729,down,存疑,mid_band,0.5097,13.23
8140870,169.601458,down,存疑,mid_band,0.5233,13.18
8149743,169.786313,down,存疑,mid_band,0.8447,25.25
8155557,169.907437,down,存疑,mid_band,0.5597,13.04
8157798,169.954125,down,存疑,mid_band,0.7384,11.24
8166100,170.127083,down,存疑,mid_band,0.7250,26.08
8228581,171.428771,down,存疑,both_low_close,0.2635,9.33
8229731,171.452729,down,存疑,both_low_close,0.4555,16.39
8425789,175.537271,down,存疑,mid_band,0.7148,16.81
8429750,175.619792,down,存疑,mid_band,0.8250,23.85
8469582,176.449625,down,drop,ncc_lo,0.4956,12.42
8494880,176.976667,down,drop,ncc_lo,0.2539,11.95
8526844,177.642583,down,存疑,mid_band,0.5454,13.45
8600345,179.173854,down,存疑,mid_band,0.8082,30.97
8603813,179.246104,down,存疑,mid_band,0.8268,12.46
8655780,180.328750,down,存疑,mid_band,0.8388,31.22
8670248,180.630167,down,存疑,mid_band,0.6593,10.82
8732886,181.935125,down,存疑,mid_band,0.7058,24.62
8744343,182.173812,down,存疑,mid_band,0.6421,10.48
8896219,185.337896,down,存疑,mid_band,0.5656,8.15
8904913,185.519021,down,存疑,mid_band,0.7513,15.31
8908054,185.584458,down,drop,ncc_lo,0.3734,13.55
8941917,186.289938,down,存疑,mid_band,0.5649,13.47
8991417,187.321188,down,存疑,mid_band,0.8276,19.59
9101564,189.615917,down,存疑,mid_band,0.7905,10.53
9117567,189.949312,down,存疑,mid_band,0.7191,11.51
9129926,190.206792,down,存疑,close_pair_ambiguous,0.4915,16.13
9131098,190.231208,down,存疑,close_pair_ambiguous,0.6047,13.11
9137080,190.355833,down,存疑,mid_band,0.7857,29.69
9154706,190.723042,down,存疑,mid_band,0.7290,8.92
9181858,191.288708,down,存疑,mid_band,0.7183,13.36
9220298,192.089542,down,存疑,mid_band,0.8393,29.27
9279840,193.330000,down,drop,ncc_lo,0.4804,11.10
9285761,193.453354,down,存疑,mid_band,0.6128,20.87
9294842,193.642542,down,存疑,mid_band,0.7694,15.53
9320680,194.180833,down,drop,ncc_lo,0.4465,17.43
9344615,194.679479,down,存疑,mid_band,0.6293,13.29
9461039,197.104979,down,drop,ncc_lo,0.4427,12.29
9499212,197.900250,down,存疑,mid_band,0.8175,15.71
9519428,198.321417,down,存疑,mid_band,0.7124,13.91
9554260,199.047083,down,存疑,mid_band,0.6366,11.93
9651607,201.075146,down,存疑,mid_band,0.8076,12.83
9667661,201.409604,down,drop,ncc_lo,0.3440,9.34
9684789,201.766437,down,存疑,mid_band,0.5907,13.77
9748479,203.093312,down,存疑,mid_band,0.6625,10.31
9755206,203.233458,down,存疑,mid_band,0.6673,11.11
9796671,204.097312,down,存疑,mid_band,0.6969,14.44
9803274,204.234875,down,存疑,mid_band,0.7067,26.19
9854659,205.305396,down,存疑,mid_band,0.6637,10.62
9924749,206.765604,down,存疑,mid_band,0.5673,10.34
9966802,207.641708,down,drop,ncc_lo,0.4741,11.98
10078259,209.963729,down,存疑,mid_band,0.5565,8.01
10139673,211.243188,down,drop,ncc_lo,0.4763,9.31
10320578,215.012042,down,drop,ncc_lo,0.2404,10.37
10431277,217.318271,down,drop,ncc_lo,0.2024,10.14
10434915,217.394062,down,存疑,mid_band,0.8327,18.55
10437482,217.447542,down,存疑,mid_band,0.7997,22.43
10452983,217.770479,down,drop,ncc_lo,-0.1141,33.32
10521142,219.190458,down,存疑,mid_band,0.6828,14.97
10931026,227.729708,down,存疑,mid_band,0.7793,27.18
10963950,228.415625,down,存疑,mid_band,0.8209,39.84
10966041,228.459188,down,存疑,mid_band,0.7556,24.93
10972832,228.600667,down,存疑,mid_band,0.8149,26.78
10985314,228.860708,down,存疑,mid_band,0.8031,21.38
11086938,230.977875,down,存疑,mid_band,0.7877,14.02
11089412,231.029417,down,存疑,mid_band,0.5639,9.29
11133415,231.946146,down,drop,ncc_lo,0.4686,23.23
11137378,232.028708,down,存疑,mid_band,0.5916,12.00
11169811,232.704396,down,存疑,mid_band,0.6737,13.64
11172835,232.767396,down,存疑,mid_band,0.5900,13.13
