sample,time_s,type,reason,value
85694,1.785292,down,low_prom,11.05
565493,11.781104,down,low_prom,8.54
586370,12.216042,down,low_prom,7.35
641738,13.369542,down,low_prom,11.32
728759,15.182479,down,low_prom,8.82
778919,16.227479,down,low_prom,10.46
861855,17.955313,down,sub30_pair,14.17
862535,17.969479,down,low_prom,8.79
862535,17.969479,down,sub30_pair,14.17
896206,18.670958,down,low_prom,10.9
1032860,21.517917,down,low_prom,9.43
1208491,25.176896,down,low_prom,10.63
1280300,26.672917,down,low_prom,11.65
1306798,27.224958,down,low_prom,10.52
1369090,28.522708,down,low_prom,9.61
1385543,28.865479,down,low_prom,11.99
1428708,29.764750,down,low_prom,8.95
1552402,32.341708,down,sub30_pair,22.73
1553493,32.364438,down,low_prom,8.22
1553493,32.364438,down,sub30_pair,22.73
1779298,37.068708,down,low_prom,8.56
1977134,41.190292,down,sub30_pair,11.04
1977664,41.201333,down,low_prom,10.16
1977664,41.201333,down,sub30_pair,11.04
2011415,41.904479,down,low_prom,10.62
2079801,43.329188,down,low_prom,8.01
2120682,44.180875,down,low_prom,10.57
2135014,44.479458,down,low_prom,10.45
2137056,44.522000,down,low_prom,8.4
2515897,52.414521,down,low_prom,10.68
2658695,55.389479,down,low_prom,11.05
2693795,56.120729,down,sub30_pair,6.73
2694118,56.127458,down,low_prom,8.87
2694118,56.127458,down,sub30_pair,6.73
2725319,56.777479,down,low_prom,9.64
2737555,57.032396,down,low_prom,8.83
2920887,60.851813,down,low_prom,9.88
2958918,61.644125,down,sub30_pair,12.73
2959529,61.656854,down,low_prom,11.8
2959529,61.656854,down,sub30_pair,12.73
2985391,62.195646,down,low_prom,11.53
3060031,63.750646,down,low_prom,10.18
3102761,64.640854,down,low_prom,9.49
3105516,64.698250,down,low_prom,9.94
3353610,69.866875,down,low_prom,11.04
3647686,75.993458,down,low_prom,10.42
3647686,75.993458,down,sub30_pair,5.08
3647930,75.998542,down,low_prom,11.01
3647930,75.998542,down,sub30_pair,5.08
3688640,76.846667,down,low_prom,8.74
3832189,79.837271,down,low_prom,11.26
4608003,96.000062,down,low_prom,9.65
4628990,96.437292,down,low_prom,8.99
4628990,96.437292,down,sub30_pair,28.6
4630363,96.465896,down,sub30_pair,28.6
4640085,96.668437,down,low_prom,10.63
4713662,98.201292,down,low_prom,8.98
4726700,98.472917,down,low_prom,11.8
4737094,98.689458,down,low_prom,9.76
4827667,100.576396,down,low_prom,9.74
4969769,103.536854,down,low_prom,10.23
5159117,107.481604,down,sub30_pair,10.65
5159628,107.492250,down,low_prom,10.89
5159628,107.492250,down,sub30_pair,10.65
5421551,112.948979,down,sub30_pair,16.96
5422365,112.965937,down,sub30_pair,16.96
5481093,114.189437,down,low_prom,11.9
5483835,114.246562,down,low_prom,8.35
5494435,114.467396,down,low_prom,11.51
5504856,114.684500,down,low_prom,7.22
5568902,116.018792,down,low_prom,10.07
5600016,116.667000,down,low_prom,9.61
5608297,116.839521,down,low_prom,9.37
5669979,118.124562,down,low_prom,10.49
5707824,118.913000,down,low_prom,11.95
5707824,118.913000,down,sub30_pair,13.94
5708493,118.926937,down,low_prom,10.18
5708493,118.926937,down,sub30_pair,13.94
5766388,120.133083,down,low_prom,8.42
5776054,120.334458,down,low_prom,11.71
5776054,120.334458,down,sub30_pair,29.44
5777467,120.363896,down,low_prom,10.19
5777467,120.363896,down,sub30_pair,29.44
5807522,120.990042,down,low_prom,11.54
5820703,121.264646,down,low_prom,9.48
6007598,125.158292,down,low_prom,11.34
6105168,127.191000,down,low_prom,10.85
6307030,131.396458,down,low_prom,9.89
6695978,139.499542,down,low_prom,10.65
6892315,143.589896,down,low_prom,10.63
7105725,148.035937,down,low_prom,10.73
7174322,149.465042,down,low_prom,11.61
7281507,151.698062,down,sub30_pair,25.06
7282710,151.723125,down,low_prom,6.33
7282710,151.723125,down,sub30_pair,25.06
7349853,153.121938,down,low_prom,8.77
7433205,154.858438,down,low_prom,11.67
7536658,157.013708,down,low_prom,9.11
7854414,163.633625,down,low_prom,9.86
7854414,163.633625,down,sub30_pair,26.04
7855664,163.659667,down,low_prom,9.26
7855664,163.659667,down,sub30_pair,26.04
7915322,164.902542,down,low_prom,8.92
8073759,168.203313,down,low_prom,9.48
8532958,177.769958,down,low_prom,11.86
8574294,178.631125,down,low_prom,11.2
9184782,191.349625,down,low_prom,11.77
9187659,191.409562,down,low_prom,7.84
9300328,193.756833,down,low_prom,10.89
9590669,199.805604,down,low_prom,11.52
9684375,201.757812,down,low_prom,9.7
9786536,203.886167,down,low_prom,10.25
10009206,208.525125,down,low_prom,10.05
10126072,210.959833,down,low_prom,7.34
10128493,211.010271,down,low_prom,8.6
10611181,221.066271,down,low_prom,9.0
10630624,221.471333,down,low_prom,11.23
10705538,223.032042,down,low_prom,8.49
10815654,225.326125,down,low_prom,8.79
10926801,227.641687,down,low_prom,10.97
11468548,238.928083,down,low_prom,11.87
11571305,241.068854,down,low_prom,10.65
11741294,244.610292,down,low_prom,10.65
11904228,248.004750,down,low_prom,9.55
11954072,249.043167,down,low_prom,10.15
12015504,250.323000,down,low_prom,11.83
12015504,250.323000,down,sub30_pair,28.96
12016894,250.351958,down,low_prom,6.86
12016894,250.351958,down,sub30_pair,28.96
12248674,255.180708,down,low_prom,8.62
12248674,255.180708,down,sub30_pair,19.23
12249597,255.199938,down,low_prom,8.11
12249597,255.199938,down,sub30_pair,19.23
12320497,256.677021,down,low_prom,11.83
12376845,257.850937,down,low_prom,7.75
12502597,260.470771,down,low_prom,8.63
12502597,260.470771,down,sub30_pair,17.21
12503423,260.487979,down,low_prom,7.96
12503423,260.487979,down,sub30_pair,17.21
12533292,261.110250,down,low_prom,10.36
12564117,261.752437,down,low_prom,6.86
12683726,264.244292,down,low_prom,10.7
12696803,264.516729,down,low_prom,9.92
12706167,264.711813,down,low_prom,11.08
12706167,264.711813,down,sub30_pair,21.67
12707207,264.733479,down,low_prom,11.18
12707207,264.733479,down,sub30_pair,21.67
12728602,265.179208,down,low_prom,11.1
12976315,270.339896,down,low_prom,9.76
12978963,270.395062,down,low_prom,9.66
13093294,272.776958,down,low_prom,10.07
13383087,278.814313,down,low_prom,8.5
13525063,281.772146,down,low_prom,10.08
13689094,285.189458,down,low_prom,8.46
13980937,291.269521,down,low_prom,10.0
13997126,291.606792,down,low_prom,11.92
14015037,291.979938,down,low_prom,9.27
14141570,294.616042,down,low_prom,9.19
14148297,294.756188,down,low_prom,7.09
14148297,294.756188,down,sub30_pair,9.52
14148754,294.765708,down,low_prom,8.53
14148754,294.765708,down,sub30_pair,9.52
14192469,295.676438,down,low_prom,7.78
14233268,296.526417,down,low_prom,8.51
14297629,297.867271,down,low_prom,9.62
14604569,304.261854,down,low_prom,10.81
14711321,306.485854,down,low_prom,11.95
14749318,307.277458,down,low_prom,9.77
14753891,307.372729,down,low_prom,11.12
14938479,311.218313,down,low_prom,11.33
14965769,311.786854,down,low_prom,8.87
15011366,312.736792,down,low_prom,8.19
15247225,317.650521,down,low_prom,11.31
15280882,318.351708,down,low_prom,10.49
15399426,320.821375,down,low_prom,8.86
15399426,320.821375,down,sub30_pair,26.06
15400677,320.847438,down,low_prom,9.48
15400677,320.847438,down,sub30_pair,26.06
15476997,322.437437,down,low_prom,10.8
15502982,322.978792,down,low_prom,11.88
15825179,329.691229,down,low_prom,11.25
16079467,334.988896,down,low_prom,8.5
16455506,342.823042,down,low_prom,9.79
16462927,342.977646,down,low_prom,9.99
16464956,343.019917,down,low_prom,8.74
16568992,345.187333,down,low_prom,10.92
17399530,362.490208,down,low_prom,9.21
