sample,time_s,type,decision,reason,ncc,range_db
36870,0.768125,down,存疑,mid_band,0.7739,27.36
50145,1.044687,down,drop,ncc_lo,0.6505,23.46
85694,1.785292,down,drop,ncc_lo,0.5131,11.05
106428,2.217250,down,存疑,mid_band,0.8365,44.16
118000,2.458333,down,drop,ncc_lo,0.6490,14.68
219284,4.568417,down,存疑,mid_band,0.8126,27.53
406384,8.466333,down,存疑,mid_band,0.7791,49.66
565493,11.781104,down,drop,ncc_lo,0.4349,8.54
586370,12.216042,down,drop,ncc_lo,0.6499,7.35
641738,13.369542,down,drop,ncc_lo,0.3484,11.32
728759,15.182479,down,drop,ncc_lo,0.6376,8.82
750415,15.633646,down,存疑,mid_band,0.7678,38.65
778919,16.227479,down,drop,ncc_lo,0.5973,10.46
861855,17.955313,down,存疑,both_low_close,0.3595,12.55
862535,17.969479,down,存疑,both_low_close,0.1546,8.79
896206,18.670958,down,drop,ncc_lo,0.4006,10.90
969658,20.201208,down,drop,ncc_lo,0.5438,22.49
972306,20.256375,down,drop,ncc_lo,0.4442,15.99
978439,20.384146,down,drop,ncc_lo,0.3857,12.25
1021669,21.284771,down,drop,ncc_lo,0.5725,23.55
1024802,21.350042,down,drop,ncc_lo,0.7433,19.45
1032860,21.517917,down,drop,ncc_lo,0.5445,9.43
1055350,21.986458,down,存疑,mid_band,0.7847,16.04
1059003,22.062562,down,存疑,mid_band,0.7547,28.36
1208491,25.176896,down,drop,ncc_lo,0.3540,10.63
1253886,26.122625,down,drop,ncc_lo,0.5231,14.46
1280300,26.672917,down,drop,ncc_lo,0.3303,11.65
1306798,27.224958,down,存疑,mid_band,0.7612,10.52
1366555,28.469896,down,drop,ncc_lo,0.4848,26.47
1369090,28.522708,down,drop,ncc_lo,0.3499,9.61
1380643,28.763396,down,drop,ncc_lo,0.5934,13.60
1385543,28.865479,down,drop,ncc_lo,0.6118,11.99
1417872,29.539000,down,drop,ncc_lo,0.6815,25.11
1428708,29.764750,down,drop,ncc_lo,0.4436,8.95
1469482,30.614208,down,drop,ncc_lo,0.5729,12.34
1482003,30.875062,down,drop,ncc_lo,0.7177,14.57
1503413,31.321104,down,存疑,mid_band,0.8089,21.21
1510178,31.462042,down,drop,ncc_lo,0.7007,22.00
1522331,31.715229,down,drop,ncc_lo,-0.1138,24.58
1552402,32.341708,down,存疑,both_low_close,0.3414,19.44
1553493,32.364438,down,存疑,both_low_close,0.4920,8.22
1620483,33.760062,down,drop,ncc_lo,0.4817,12.86
1690883,35.226729,down,存疑,mid_band,0.7680,25.88
1751049,36.480187,down,drop,ncc_lo,0.6977,36.92
1776685,37.014271,down,drop,ncc_lo,0.3489,32.50
1779298,37.068708,down,drop,ncc_lo,0.3636,8.56
1862090,38.793542,down,drop,ncc_lo,0.6726,39.43
1952488,40.676833,down,存疑,mid_band,0.8496,17.26
1960006,40.833458,down,drop,ncc_lo,0.3821,28.72
1967675,40.993229,down,drop,ncc_lo,0.0884,44.30
1977134,41.190292,down,存疑,both_low_close,0.0413,12.28
1977664,41.201333,down,存疑,both_low_close,0.5256,10.16
2011415,41.904479,down,drop,ncc_lo,0.4876,10.62
2079801,43.329188,down,drop,ncc_lo,0.4555,8.01
2120682,44.180875,down,drop,ncc_lo,0.4578,10.57
2135014,44.479458,down,drop,ncc_lo,0.3004,10.45
2137056,44.522000,down,drop,ncc_lo,0.6209,8.40
2208533,46.011104,down,drop,ncc_lo,0.4398,12.50
2486414,51.800292,down,drop,ncc_lo,0.3398,17.71
2488515,51.844062,down,drop,ncc_lo,0.6083,15.11
2503329,52.152687,down,drop,ncc_lo,0.7411,21.80
2515897,52.414521,down,drop,ncc_lo,0.5479,10.68
2630198,54.795792,down,drop,ncc_lo,0.4048,15.20
2658695,55.389479,down,drop,ncc_lo,0.3106,11.05
2693795,56.120729,down,存疑,both_low_close,0.1622,15.73
2694118,56.127458,down,存疑,both_low_close,0.3712,8.87
2715674,56.576542,down,drop,ncc_lo,0.4732,19.05
2725319,56.777479,down,drop,ncc_lo,0.6450,9.64
2737555,57.032396,down,drop,ncc_lo,0.2696,8.83
2772463,57.759646,down,drop,ncc_lo,0.6783,24.00
2812091,58.585229,down,drop,ncc_lo,0.1875,31.26
2837835,59.121563,down,存疑,mid_band,0.8341,22.63
2872661,59.847104,down,drop,ncc_lo,0.4687,17.53
2874513,59.885688,down,drop,ncc_lo,0.7441,12.66
2920887,60.851813,down,drop,ncc_lo,0.5557,9.88
2958918,61.644125,down,存疑,both_low_close,0.1239,14.12
2959529,61.656854,down,存疑,both_low_close,0.6604,11.80
2967888,61.831000,down,drop,ncc_lo,0.7206,16.11
2985391,62.195646,down,drop,ncc_lo,0.6567,11.53
