file,click_idx,window_text,t_lo_s,t_hi_s,reason,sample,time_s,ncc,range_db,note
25REF169,3,109-110s,109,110,multi_candidate,5196995,108.270729,0.911,34.4,
25REF169,4,144-145s,144,145,multi_candidate,6947580,144.741250,0.990,45.7,
25REF169,5,196-197s,196,197,multi_candidate,9416044,196.167583,0.919,29.4,
25REF169,6,257-258s,257,258,multi_candidate,12329861,256.872104,0.970,32.7,
25REF203,1,Separate audio,,,separate_audio,,,,,click is in a QN clip; located there
25REF203,2,2-3s,2,3,"multi_candidate,low_conf",65084,1.355917,0.693,38.2,note
25REF203,3,53-54s,53,54,"multi_candidate,low_conf",2539988,52.916417,0.811,13.8,
25REF203,4,91-92s,91,92,multi_candidate,4353315,90.694063,0.939,19.6,note
25REF203,5,117-118s,117,118,"multi_candidate,low_conf",5637521,117.448354,0.841,22.7,
25REF203,6,154-155s,154,155,low_conf,7464966,155.520125,0.808,12.9,
25REF203,7,191-192s,191,192,low_conf,9176457,191.176187,0.857,19.7,
25REF203Q1,1,,,,separate_audio,,,,,separate-audio clip for 25REF203 (Q index 1)
25REF203Q1,1,whole-clip,,,multi_candidate,102674,2.139042,0.964,39.1,separate_audio
25REF238,2,44-45s,44,45,low_conf,2078037,43.292437,0.751,24.7,
25REF238,5,190-191s,190,191,multi_candidate,9175548,191.157250,0.986,29.8,
25REF238,6,243-244s,243,244,multi_candidate,11688106,243.502208,0.962,18.6,
25REF238,7,307-308s,307,308,multi_candidate,14731210,306.900208,0.963,23.6,
25REF263,3,74-75s,74,75,multi_candidate,3590537,74.802854,0.955,30.9,
25REF263,4,133-134s,133,134,multi_candidate,6427886,133.914292,0.980,36.7,
25REF263,5,194-195s,194,195,multi_candidate,9369829,195.204771,0.944,43.5,
25REF263,6,291-292s,291,292,"multi_candidate,low_conf",14002842,291.725875,0.899,34.0,
BJNC3,1,3-3s,3,3,multi_candidate,158402,3.300042,0.995,36.8,
BJNC3,2,53-54s,53,54,"multi_candidate,low_conf",2526673,52.639021,0.877,19.9,
BJNC3,3,107-108s,107,108,multi_candidate,5156328,107.423500,0.963,34.8,
BJNC3,4,163-164s,163,164,multi_candidate,7825682,163.035042,0.960,31.1,
BJNC3,5,202-203s,202,203,multi_candidate,9692490,201.926875,0.961,29.4,
BJNC3,7,319-319s,319,319,low_conf,15323956,319.249083,0.617,20.7,
BJ_C14,1,15-16s,15,16,multi_candidate,685881,14.289188,0.940,33.7,
BJ_C14,2,58-59s,58,59,"multi_candidate,low_conf",2824998,58.854125,0.882,19.2,
BJ_C14,3,109-110s,109,110,"multi_candidate,low_conf",5202589,108.387271,0.859,38.3,
BJ_C14,4,144-145s,144,145,multi_candidate,6907525,143.906771,0.910,18.9,
BJ_C14,5,169-170s,169,170,multi_candidate,8132878,169.434958,0.974,25.2,
BJ_C14,6,264-265s,264,265,"multi_candidate,low_conf",12652031,263.583979,0.967,14.4,
BJ_C14,7,322-322s,322,322,"multi_candidate,low_conf",15427772,321.411917,0.866,15.0,
BJ_C15,3,84-85s,84,85,multi_candidate,4074393,84.883188,0.910,24.0,
BJ_C15,4,106-107s,106,107,multi_candidate,5130716,106.889917,0.979,39.4,
BJ_C15,6,215-216s,215,216,multi_candidate,10366153,215.961521,0.940,21.8,
BJ_C15,7,264-264s,264,264,"multi_candidate,low_conf",12661708,263.785583,0.663,13.7,
C22,6,258-259s,258,259,multi_candidate,12442222,259.212958,0.994,67.9,
C25,1,4-4s,4,4,multi_candidate,188531,3.927729,0.991,36.1,
C26,1,2-2s,2,2,"multi_candidate,low_conf",65564,1.365917,0.885,21.0,
C26,2,55-56s,55,56,"multi_candidate,low_conf",2644318,55.089958,0.866,26.9,
C26,5,196-197s,196,197,"multi_candidate,low_conf",9419739,196.244563,0.922,13.6,
C26,6,258-259s,258,259,"multi_candidate,low_conf",12377360,257.861667,0.888,28.0,
C26,7,291-291s,291,291,multi_candidate,13956104,290.752167,0.985,46.1,
C29,1,4-4s,4,4,"multi_candidate,low_conf",172374,3.591125,0.899,22.5,
C29,6,65-65s,65,65,multi_candidate,3104651,64.680229,0.989,44.9,
C50,1,Separate audio,,,separate_audio,,,,,click is in a QN clip; located there
C50Q1,1,,,,separate_audio,,,,,separate-audio clip for C50 (Q index 1)
C50Q1,1,whole-clip,,,"multi_candidate,low_conf",114824,2.392167,0.901,16.8,separate_audio
C55,2,68-68s,68,68,multi_candidate,3271596,68.158250,0.991,27.5,
C55,3,173-173s,173,173,multi_candidate,8317537,173.282021,0.927,22.1,note
C55,5,307-308s,307,308,multi_candidate,14790187,308.128896,0.966,48.6,
C55,7,470-470s,470,470,"multi_candidate,low_conf",22546751,469.723979,0.924,14.1,
C55Q3,3,,,,separate_audio,,,,,separate-audio clip for C55 (Q index 3)
C55Q3,3,whole-clip,,,multi_candidate,121021,2.521271,0.961,46.7,separate_audio
C59,,,,,only_6_clicks,,,,,3s; 42s-43s; 2'07-2'08; 6'01-6'02; 7'39-7'40; 9'19-9'20
C59,1,3-3s,3,3,multi_candidate,110836,2.309083,0.916,31.6,
C59,2,42-43s,42,43,multi_candidate,2034114,42.377375,0.981,35.1,
C59,4,361-362s,361,362,multi_candidate,17334025,361.125521,0.929,53.2,
C59,5,459-460s,459,460,multi_candidate,22041600,459.200000,0.970,46.3,
C59,6,559-560s,559,560,multi_candidate,26843107,559.231396,0.979,56.1,
C65,2,53-54s,53,54,multi_candidate,2548257,53.088687,0.993,47.6,
C65,3,107-108s,107,108,multi_candidate,5136575,107.011979,0.991,50.1,
C65,4,152-153s,152,153,multi_candidate,7325628,152.617250,0.990,62.0,
C65,5,208-209s,208,209,multi_candidate,9966605,207.637604,0.948,38.4,
C65,6,258-259s,258,259,multi_candidate,12413881,258.622521,0.994,59.8,
C65,7,323-323s,323,323,multi_candidate,15501340,322.944583,0.986,54.0,
C66,5,364-365s,364,365,multi_candidate,17498250,364.546875,0.976,56.4,
C66,7,495-495s,495,495,"multi_candidate,low_conf",23724962,494.270042,0.793,20.3,
C70,1,1-1s,1,1,multi_candidate,44521,0.927521,0.989,37.2,
C70,6,105-106s,105,106,"multi_candidate,low_conf",5066121,105.544188,0.908,13.1,
C74,1,8-8s,8,8,"multi_candidate,low_conf",385029,8.021437,0.817,17.4,
C74,7,51-51s,51,51,multi_candidate,2433856,50.705333,0.980,35.7,
C80,1,2-3s,2,3,multi_candidate,79450,1.655208,0.955,22.5,
C80,4,76-77s,76,77,multi_candidate,3652075,76.084896,0.944,24.8,
C80,6,114-115s,114,115,low_conf,5488991,114.353979,0.833,24.8,
C80,7,127-127s,127,127,"multi_candidate,low_conf",6059198,126.233292,0.660,26.3,
F69,2,20-21s,20,21,multi_candidate,941877,19.622438,0.985,55.5,
F69,3,47-48s,47,48,multi_candidate,2268440,47.259167,0.994,57.3,
F69,4,59-60s,59,60,"multi_candidate,low_conf",2849758,59.369958,0.880,13.7,
F69,5,74-75s,74,75,multi_candidate,3517400,73.279167,0.969,32.0,
F69,6,106-107s,106,107,multi_candidate,5078327,105.798479,0.955,21.8,
HZ_C3,,,,,only_6_clicks,,,,,2s; 1'10-1'11; 2'05-2'06; 2'49-2'50; 4'09-4'10; 5'20-5'21
HZ_C3,1,2-2s,2,2,low_conf,115693,2.410271,0.899,39.0,
HZ_C3,2,70-71s,70,71,multi_candidate,3396305,70.756354,0.970,40.0,
HZ_C3,5,249-250s,249,250,multi_candidate,11939217,248.733688,0.908,38.7,
HZ_C3,6,320-321s,320,321,"multi_candidate,low_conf",15368668,320.180583,0.881,29.4,
HZ_F14,1,4-4s,4,4,multi_candidate,170553,3.553187,0.946,39.1,note
HZ_F14,2,120-121s,120,121,multi_candidate,5790120,120.627500,0.967,52.6,
HZ_F14,3,Separate audio,,,separate_audio,,,,,click is in a QN clip; located there
HZ_F14,4,124-125s,124,125,multi_candidate,5954407,124.050146,0.987,55.1,
HZ_F14,7,323-324s,323,324,multi_candidate,15467817,322.246188,0.950,31.9,
HZ_F14Q2,2,,,,"separate_audio,qn_slot_ambiguous",,,,,"separate-audio clip for HZ_F14 (Q index 2); sheet marks Separate audio at click[3], not click2"
HZ_F14Q2,2,whole-clip,,,"multi_candidate,low_conf",36051,0.751062,0.876,19.3,"separate_audio,qn_slot_ambiguous"
HZ_F17,1,1-1s,1,1,multi_candidate,55998,1.166625,0.946,30.7,
HZ_F17,3,123-124s,123,124,multi_candidate,5934084,123.626750,0.983,55.9,
HZ_F17,6,336-337s,336,337,multi_candidate,16158033,336.625688,0.947,26.3,
HZ_F17,7,400-400s,400,400,"multi_candidate,low_conf",19168565,399.345104,0.822,22.3,
HZ_F7,3,52-53s,52,53,multi_candidate,2501390,52.112292,0.992,43.9,
HZ_F7,5,104-105s,104,105,multi_candidate,5059270,105.401458,0.992,59.9,
HZ_F7,6,141-142s,141,142,multi_candidate,6798814,141.641958,0.964,52.9,
HZ_F7,7,157-157s,157,157,"multi_candidate,low_conf",7524635,156.763229,0.888,44.0,
IntlSB1,2,15-15s,15,15,multi_candidate,730679,15.222479,0.974,55.9,
